match_id,radiant_win
997720,1
997713,0
997675,0
997687,0
997683,0
997702,0
997699,1
997671,1
997680,1
997670,1
997695,0
997674,0
997676,1
997685,1
997668,0
997666,1
997648,0
997661,1
997690,0
997663,0
997660,0
997646,1
997642,1
997647,0
997649,1
997909,1
997637,1
997617,1
997626,1
997620,1
997616,1
997595,0
997624,1
997618,0
997610,0
997608,1
997604,0
997611,1
997596,0
997588,1
997592,1
997589,0
997573,1
997599,1
997577,0
997570,1
997584,0
997579,1
997578,0
997571,0
997598,1
997583,1
997555,1
997553,0
997567,0
997560,0
997554,0
997556,0
997558,1
997548,1
997552,0
997562,1
997544,1
997543,1
997541,1
997531,1
997517,1
997513,0
997516,1
997526,1
997515,1
997527,0
997485,0
997489,0
997493,0
997503,0
997490,0
997470,1
997476,0
997487,1
997466,1
997460,0
997444,0
997458,0
997437,1
997436,0
997417,1
997422,1
997442,1
997418,0
997419,1
997409,0
997412,0
997406,1
997427,0
997403,1
997402,1
997415,1
997435,1
997408,0
997410,1
997399,1
997396,0
997400,1
997394,0
997393,0
997382,0
997387,1
997388,1
997386,1
997389,0
997376,0
997375,1
997374,0
997359,1
997363,1
997345,1
997329,0
997343,0
997331,0
997360,1
997335,1
997346,0
997337,1
997339,1
997347,0
997320,0
997384,0
997319,1
997379,1
997321,0
997362,0
997311,0
997299,0
997318,1
997324,1
997314,0
997309,1
997302,1
997306,1
997304,1
997286,1
997301,1
997295,0
997293,1
997298,0
997303,0
997280,0
997285,0
997297,0
997274,1
997290,0
997287,1
997291,0
997276,0
997288,1
997260,1
997255,0
997269,1
997267,0
997263,1
997261,0
997253,0
997252,0
997230,0
997227,0
997228,0
997223,0
997231,1
997221,0
997195,0
997204,1
997220,0
997218,0
997216,1
997205,0
997214,1
997217,1
997193,0
997196,1
997192,0
997189,1
997150,0
997188,1
997151,0
997162,0
997149,0
997160,0
997157,0
997147,0
997163,0
997155,0
997148,0
997146,0
997140,1
997191,1
997176,0
997177,1
997179,1
997143,1
997181,1
997166,0
997167,1
997159,1
997158,0
997124,0
997133,1
997118,0
997114,0
997108,1
997119,1
997101,1
997081,1
997127,1
997099,0
997084,1
997096,0
997058,1
997085,0
997083,0
997076,0
997087,1
997089,1
997088,1
997077,1
997057,1
997064,1
997090,1
997059,1
997055,1
997086,1
997054,1
997069,0
997066,1
997025,0
997052,0
997045,0
997050,0
997019,0
997051,0
997036,1
997030,0
997021,1
997035,1
997034,0
997037,1
997018,1
997011,1
997004,0
997013,1
996999,0
997007,1
997009,1
997016,1
997039,1
997029,0
996994,1
996976,1
996990,1
996981,1
996993,0
996978,1
996982,1
997031,1
996958,1
996969,0
996977,0
996966,1
996962,1
996946,0
996919,0
996944,1
996943,1
996925,0
996937,1
996933,1
996942,0
996923,1
996938,0
996935,1
996939,0
996922,0
996930,0
996934,1
996911,0
996910,0
996917,1
996902,1
996931,0
996918,0
996899,1
996896,1
996892,1
996897,1
996890,1
996886,0
996880,0
996904,0
996871,0
996893,0
996882,0
996895,1
996869,1
996859,1
996852,1
996868,1
996874,0
996866,0
996889,1
996867,0
996854,0
996856,0
996853,0
996848,0
996835,0
996841,0
996840,1
996846,0
996827,1
996851,0
996832,0
996833,1
996860,1
996842,0
996831,1
996826,1
996812,0
996814,0
996822,1
996811,1
996806,0
996805,1
996819,0
996799,0
996820,1
